COUNTY,TOWERCOUNT
KING,19
KING GEORGE,6
KING WILLIAM,7
KINGFISHER,4
KINGMAN,3
KINGS,12
KINGSBURY,1
KINNEY,2
KIOWA,10
KIT CARSON,16
KITSAP,15
KITTITAS,14
KITTSON,5
KLAMATH,5
KLEBERG,10
KLICKITAT,12
KNOTT,2
KNOX,21
KODIAK ISLAND,4
KOOCHICHING,14
KOOTENAI,6
KOSCIUSKO,16
KOSSUTH,1
LA CROSSE,3
LA PAZ,7
LA PLATA,14
LA PORTE,24
LA SALLE,20
LABETTE,2
LAC QUI PARLE,11
LACKAWANNA,6
LACLEDE,2
LAFAYETTE,58
LAFOURCHE,16
LAGRANGE,11
LAKE,107
LAKE OF THE WOODS,9
LAMAR,22
LAMB,5
LAMOILLE,3
LAMOURE,6
LAMPASAS,13
LANCASTER,32
LANDER,8
LANE,24
LANGLADE,8
LANIER,1
LAPEER,14
LARAMIE,18
LARIMER,10
LARUE,12
LAS ANIMAS,15
LASSEN,4
LATAH,4
LAUDERDALE,21
LAUREL,5
LAURENS,30
LAVACA,5
LAWRENCE,58
LE FLORE,7
LE SUEUR,9
LEA,20
LEAKE,8
LEAVENWORTH,22
LEBANON,8
LEE,51
LEELANAU,12
LEFLORE,1
LEHIGH,5
LEMHI,7
LENAWEE,17
LENOIR,2
LEON,18
LESLIE,3
LETCHER,4
LEVY,9
LEWIS,27
LEWIS AND CLARK,16
LEXINGTON,3
LIBERTY,29
LICKING,13
LIMESTONE,12
LINCOLN,136
LINN,21
LIPSCOMB,4
LITCHFIELD,13
LITTLE RIVER,5
LIVE OAK,5
LIVINGSTON,47
LLANO,1
LOGAN,76
LONOKE,6
LORAIN,12
LOS ALAMOS,4
LOS ANGELES,16
LOUDON,4
LOUDOUN,4
LOUISA,12
LOUP,1
LOVE,4
LOVING,1
LOWNDES,15
LUBBOCK,22
LUCAS,4
LUCE,3
LUMPKIN,4
LUNA,8
LUNENBURG,2
LUZERNE,7
LYCOMING,13
LYMAN,9
LYNN,14
LYON,22
MACKINAC,13
MACOMB,2
MACON,27
MACOUPIN,16
MADERA,11
MADISON,126
MAGOFFIN,2
MAHASKA,2
MAHNOMEN,2
MAHONING,12
MAJOR,4
MALHEUR,4
MANATEE,17
MANISTEE,4
MARATHON,30
MARENGO,2
MARICOPA,33
MARIES,6
MARIN,6
MARINETTE,16
MARION,111
MARIPOSA,8
MARLBORO,3
MARQUETTE,16
MARSHALL,63
MARTIN,36
MASON,33
MASSAC,8
MATAGORDA,14
MATANUSKA-SUSITNA,44
MATHEWS,3
MAUI,8
MAURY,8
MAVERICK,6
MAYES,3
MCCLAIN,6
MCCONE,15
MCCOOK,5
MCCORMICK,6
MCCRACKEN,4
MCCREARY,9
MCCULLOCH,2
MCDONALD,2
MCDONOUGH,1
MCDOWELL,3
MCDUFFIE,1
MCHENRY,28
MCINTOSH,13
MCKEAN,7
MCKENZIE,14
MCKINLEY,16
MCLEAN,45
MCLENNAN,20
MCLEOD,4
MCMINN,4
MCMULLEN,3
MCNAIRY,7
MCPHERSON,16
MEADE,59
MEAGHER,4
MECKLENBURG,13
MECOSTA,7
MEDINA,9
MEEKER,7
MEIGS,8
MENARD,4
MENDOCINO,2
MENIFEE,4
MENOMINEE,15
MERCED,16
MERCER,54
MERIWETHER,4
MERRICK,1
MERRIMACK,1
MESA,6
METCALFE,6
MIAMI,13
MIAMI-DADE,9
MIDDLESEX,33
MIDLAND,20
MIFFLIN,4
MILAM,10
MILLARD,8
MILLE LACS,9
MILLER,9
MILLS,2
MILWAUKEE,3
MINER,1
MINERAL,10
MINGO,7
MINIDOKA,2
MINNEHAHA,14
MISSAUKEE,8
MISSISSIPPI,13
MISSOULA,8
MITCHELL,14
MOBILE,11
MODOC,3
MOFFAT,1
MOHAVE,45
MONITEAU,2
MONMOUTH,5
MONO,14
MONONA,5
MONROE,137
MONTAGUE,11
MONTCALM,10
MONTEREY,23
MONTEZUMA,8
MONTGOMERY,100
MONTMORENCY,2
MONTROSE,2
MOODY,3
MOORE,11
MORA,3
MOREHOUSE,4
MORGAN,50
MORRILL,5
MORRIS,8
MORRISON,14
MORROW,16
MORTON,23
MOTLEY,3
MOULTRIE,4
MOUNTRAIL,5
MOWER,4
MUHLENBERG,11
MURRAY,8
MUSCATINE,3
MUSCOGEE,1
MUSKEGON,14
MUSKINGUM,11
MUSKOGEE,7
MUSSELSHELL,5
NACOGDOCHES,5
NANCE,1
NANTUCKET,6
NASH,2
NASSAU,13
NATCHITOCHES,23
NATRONA,16
NAVAJO,8
NAVARRO,16
NELSON,26
NEMAHA,3
NEOSHO,4
NESHOBA,4
NESS,11
NEVADA,16
NEW CASTLE,7
NEW HANOVER,1
NEW HAVEN,18
NEW KENT,8
NEW LONDON,18
NEW MADRID,8
NEWAYGO,9
NEWBERRY,16
NEWPORT,6
NEWTON,31
NEZ PERCE,4
NIAGARA,10
NICHOLAS,9
NICOLLET,7
NIOBRARA,6
NOBLE,13
NOBLES,3
NODAWAY,2
NOLAN,9
NOME,2
NORFOLK,5
NORFOLK CITY,2
NORMAN,7
NORTHAMPTON,9
NORTHUMBERLAND,10
NORTON,3
NOTTOWAY,3
NOWATA,2
NOXUBEE,2
NUCKOLLS,2
NUECES,34
NYE,3
O'BRIEN,3
OAKLAND,12
OBION,6
OCEAN,16
OCEANA,9
OCHILTREE,4
OCONEE,33
OCONTO,6
OGLE,4
OGLETHORPE,5
OHIO,15
OKALOOSA,17
OKANOGAN,14
OKEECHOBEE,13
OKFUSKEE,1
OKLAHOMA,3
OKMULGEE,2
OKTIBBEHA,1
OLDHAM,13
OLIVER,3
OLMSTED,14
ONEIDA,23
ONONDAGA,14
ONTARIO,4
ONTONAGON,9
ORANGE,65
ORANGEBURG,26
OREGON,1
ORLEANS,7
OSAGE,19
OSBORNE,4
OSCEOLA,29
OSCODA,7
OSWEGO,14
OTERO,30
OTOE,1
OTSEGO,11
OTTAWA,16
OTTER TAIL,5
OUACHITA,26
OURAY,4
OUTAGAMIE,3
OWEN,11
OWYHEE,4
OXFORD,2
OZARK,3
OZAUKEE,2
PACIFIC,7
PAGE,4
PALM BEACH,19
PALO ALTO,1
PALO PINTO,15
PAMLICO,1
PANOLA,11
PARK,23
PARKE,6
PARKER,12
PARMER,6
PASCO,9
PASQUOTANK,1
PASSAIC,4
PAULDING,6
PAWNEE,6
PAYETTE,6
PAYNE,4
PEACH,1
PEARL RIVER,6
PECOS,25
PEMBINA,9
PEMISCOT,3
PEND OREILLE,14
PENDER,4
PENDLETON,12
PENNINGTON,18
PENOBSCOT,4
PEORIA,5
PEPIN,4
PERKINS,14
PERRY,37
PERSHING,2
PERSON,1
PETTIS,6
PHELPS,8
PHILLIPS,11
PIATT,6
PICKAWAY,8
PICKENS,11
PIERCE,41
PIKE,52
PIMA,13
PINAL,29
PINE,13
PINELLAS,11
PIPESTONE,4
PITKIN,2
PITT,5
PITTSBURG,5
PITTSYLVANIA,14
PLACER,18
PLAQUEMINES,15
PLATTE,34
PLEASANTS,2
PLUMAS,3
PLYMOUTH,12
POCAHONTAS,8
POINSETT,5
POINTE COUPEE,8
POLK,93
PONDERA,5
PONTOTOC,9
POPE,16
POQUOSON CITY,2
PORTAGE,8
PORTER,19
POSEY,11
POTTAWATOMIE,12
POTTAWATTAMIE,7
POTTER,18
POWDER RIVER,5
POWELL,4
POWER,4
POWESHIEK,2
POWHATAN,3
PRAIRIE,12
PRATT,5
PREBLE,6
PRENTISS,1
PRESIDIO,2
PRESQUE ISLE,8
PRESTON,6
PRICE,6
PRINCE EDWARD,4
PRINCE GEORGE,4
PRINCE GEORGE'S,6
PRINCE OF WALES-HYDER,2
PRINCE OF WALES-OUTER KETCHIKAN,2
PRINCE WILLIAM,4
PROVIDENCE,8
PROWERS,10
PUEBLO,9
PULASKI,32
PUTNAM,54
QUAY,14
QUEEN ANNE'S,1
QUITMAN,2
RABUN,3
RACINE,9
RAINS,1
RALLS,1
RAMSEY,7
RANDALL,12
RANDOLPH,46
RANKIN,8
RANSOM,1
RAPIDES,53
RAPPAHANNOCK,2
RAVALLI,7
RAWLINS,5
RAY,4
REAGAN,3
REAL,2
RED LAKE,8
RED RIVER,5
RED WILLOW,1
REDWOOD,11
REEVES,13
REFUGIO,12
RENO,3
RENVILLE,14
REPUBLIC,2
REYNOLDS,2
RHEA,6
RICE,13
RICH,4
RICHLAND,38
RICHMOND,11
RICHMOND CITY,3
RILEY,2
RINGGOLD,2
RIO ARRIBA,17
RIO GRANDE,2
RIPLEY,14
RITCHIE,2
RIVERSIDE,32
ROANE,8
ROBERTS,9
ROBERTSON,11
ROCK,14
ROCK ISLAND,4
ROCKBRIDGE,2
ROCKCASTLE,3
ROCKINGHAM,20
ROGER MILLS,3
ROGERS,1
ROLETTE,5
ROOKS,9
ROOSEVELT,20
ROSCOMMON,14
ROSEAU,11
ROSEBUD,12
ROSS,8
ROUTT,4
ROWAN,7
RUNNELS,6
RUSH,11
RUSK,18
RUSSELL,30
RUTHERFORD,7
RUTLAND,3
SABINE,17
SAC,2
SACRAMENTO,17
SAGADAHOC,12
SAGINAW,9
SAGUACHE,2
SALEM,6
SALINE,26
SALT LAKE,8
SALUDA,12
SAMPSON,4
SAN AUGUSTINE,1
SAN BENITO,8
SAN BERNARDINO,23
SAN DIEGO,42
SAN JACINTO,6
SAN JOAQUIN,5
SAN JUAN,37
SAN LUIS OBISPO,15
SAN MATEO,6
SAN MIGUEL,17
SAN PATRICIO,35
SAN SABA,5
SANBORN,8
SANDERS,9
SANDOVAL,7
SANDUSKY,10
SANGAMON,20
SANILAC,12
SANPETE,7
SANTA BARBARA,16
SANTA CLARA,13
SANTA CRUZ,21
SANTA FE,9
SANTA ROSA,12
SARASOTA,11
SARATOGA,2
SARGENT,2
SARPY,2
SAUK,5
SAUNDERS,2
SAWYER,7
SCHLEICHER,5
SCHOHARIE,4
SCHOOLCRAFT,7
SCHUYLER,3
SCHUYLKILL,21
SCIOTO,6
SCOTLAND,10
SCOTT,63
SCOTTS BLUFF,8
SCREVEN,7
SCURRY,12
SEARCY,8
SEBASTIAN,4
SEDGWICK,31
SEMINOLE,14
SENECA,11
SEQUATCHIE,6
SEQUOYAH,5
SEVIER,14
SEWARD,9
SHACKELFORD,9
SHANNON,16
SHARKEY,2
SHARP,5
SHASTA,16
SHAWANO,18
SHAWNEE,6
SHEBOYGAN,10
SHELBY,36
SHENANDOAH,7
SHERBURNE,20
SHERIDAN,39
SHERMAN,19
SHIAWASSEE,16
SHOSHONE,6
SIBLEY,3
SIERRA,6
SILVER BOW,3
SIMPSON,21
SIOUX,6
SISKIYOU,11
SITKA,4
SKAGIT,16
SKAGWAY-HOONAH-ANGOON,8
SKAMANIA,12
SLOPE,3
SMITH,26
SMYTH,1
SNOHOMISH,11
SNYDER,5
SOCORRO,11
SOLANO,6
